ID number,Biggest_Challenge,Inflation_Challenge,Unemployment_Challenge,NHS_Challenge,Education_Challenge,Security_Challenge,Tax_Challenge,Crime_Challenge,ClimateChange_Challenge,Energy_Challenge,Energy_thought,Renewable_thought,Lights_on,Boil_kettle,Wash_clothes,Room_temp,Heat_on,Glazing,Biomass_boiler,Air_source_heat_pump,Ground_source_heat_pump,Solar_thermal,Rep_old_boiler,Smart_meter,Electric_car,Renew_Econ_benefit,Renew_energy_dev,Renew_energy_dev_comm,Support_wind_onshore,Support_biomass,Support_wind_offshore,Support_waveTidal,Support_solar,Nuclear_ClimateChange,Nuclear_afford_energy,Nuclear_Economic,Nuclear_benefit_risk,CCS,Energy_Bill_cost,Food_Cost,Transport_costs,Mortgage_Rent_costs,ClimChange_concerns,ClimChange_cause,Future_energy_price,Future_power_cuts,Future_fossilfuel_supply,Future_energy_dependence,Future_altEnergy_invest,Future_altEnergy_dev,Energy_source_mix,Property_type ,Heating_method_prim,Number_Adults,Number_people,Children,Gender,Tenure ,Working_status,Age,Area,Income
1204,Crime\law and order,Yes,No,No,Yes,No,No,Yes,No,No,A fair amount,Support,Occasionally,Occasionally,Occasionally,Quite often ,Occasionally,No,Haven't thought about doing this ,Haven't thought about doing this,Haven't thought about doing this ,Haven't thought about doing this ,Already done\ have this ,"Yes, I have heard of smart meters but I do not have one",I haven't really thought about buying an electric car or van,Neither agree nor disagree,Slightly agree,Strongly agree,Strongly support,Support,Strongly support,Strongly support,Support,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Don't know,Aware of it but don't really know what it is ,Not very worried,Very worried,Very worried,Fairly worried,Fairly concerned,Climate change is partly caused by natural processes and partly caused by human activity,Very concerned,Not very concerned,Not at all concerned,Fairly concerned,Fairly concerned,Fairly concerned,Slightly agree,Semi Detached Property,Gas,3,4,Child,Male,Being bought on mortgage,Full time,45-54,Urban,15999
1205,Inflation\rising prices,Yes,Yes,No,No,No,Yes,No,No,No,A fair amount,Support,Occasionally,Occasionally,Always ,Never,Never,Yes,Not my decision to make because I'm renting the property,Not my decision to make because I'm renting the property,Not my decision to make because I'm renting the property,Not my decision to make because I'm renting the property,Not my decision to make because I'm renting the property,No - I have never heard of them,I haven't really thought about buying an electric car or van,Slightly agree,Neither agree nor disagree,Slightly agree,Strongly support,Neither support nor oppose,Strongly support,Neither support nor oppose,Strongly support,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,The benefits and risks are about the same,Aware of it but don't really know what it is ,Not very worried,Not very worried,Fairly worried,Not very worried,Not at all concerned,Climate change is mainly caused by human activity,Very concerned,Not at all concerned,Fairly concerned,Not very concerned,Fairly concerned,Fairly concerned,Slightly agree,Flat or Maisonette,Gas,2,4,Child,Female,Rented from local authority,Part time,25-34,Rural,20000
1206,Unemployment,Yes,Yes,No,No,No,No,No,No,Yes,A lot,Support,Occasionally,Occasionally,Very often,Never,Never,Yes,Haven't thought about doing this ,Haven't heard of this ,Haven't heard of this ,Don't want to\probably won't do this,Don't want to\probably won't do this ,"Yes, I have heard of smart meters but I do not have one",I haven't really thought about buying an electric car or van,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither support nor oppose,Neither support nor oppose,Neither support nor oppose,Neither support nor oppose,Support,Neither agree nor disagree,Neither agree nor disagree,Slightly agree,The benefits and risks are about the same,Aware of it but don't really know what it is ,Not very worried,Fairly worried,Very worried,Not very worried,Not very concerned,Climate change is entirely caused by natural processes,Very concerned,Very concerned,Fairly concerned,Fairly concerned,Fairly concerned,Fairly concerned,Strongly agree,Terrace Property,Gas,3,3,No child,Female,Being bought on mortgage,Retired,55-64,Urban,25000
1207,Unemployment,No,Yes,Yes,No,No,Yes,No,No,No,Not very much,Support,Occasionally,Occasionally,Occasionally,Very often,Never,No,Haven't heard of this,Haven't heard of this ,Haven't heard of this ,Don't want to\probably won't do this,Already done\ have this ,No - I have never heard of them,I haven't really thought about buying an electric car or van,Slightly agree,Neither agree nor disagree,Slightly agree,Oppose ,Support,Support,Support,Support,Neither agree nor disagree,Slightly agree,Slightly agree,The benefits slightly outweigh the risks ,Aware of it but don't really know what it is ,Not very worried,Not very worried,Fairly worried,Not very worried,Not very concerned,Climate change is partly caused by natural processes and partly caused by human activity,Fairly concerned,Not very concerned,Fairly concerned,Fairly concerned,Fairly concerned,Fairly concerned,Slightly agree,Semi Detached Property,Gas,2,5,Child,Female,Being bought on mortgage,Part time,35-44,Urban,35000
1208,National Health Service,No,Yes,Yes,No,No,Yes,No,No,No,Not very much,Support,Occasionally,Quite often ,Occasionally,Occasionally,Never,No,Not my decision to make because I'm renting the property,Not my decision to make because I'm renting the property,Not my decision to make because I'm renting the property,Not my decision to make because I'm renting the property,Not Applicable,No - I have never heard of them,I haven't really thought about buying an electric car or van,Slightly agree,Neither agree nor disagree,Slightly agree,Support,Support,Support,Support,Support,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,The risks slightly outweigh the benefits,Aware of it but don't really know what it is ,Not very worried,Fairly worried,Fairly worried,Not very worried,Not very concerned,Climate change is partly caused by natural processes and partly caused by human activity,Not very concerned,Not very concerned,Not very concerned,Not very concerned,Not very concerned,Not very concerned,Slightly agree,Detached Property,Oil,2,2,No child,Female,Rented from private landlord,Full time,16-24,Rural,20000
1209,Level of taxation,No,No,Yes,No,No,Yes,No,No,Yes,Not very much,Oppose ,Quite often ,Quite often ,Very often,Always ,Never,Yes,Haven't thought about doing this ,Haven't thought about doing this,Haven't thought about doing this ,Haven't thought about doing this ,Already done\ have this ,"Yes, I have heard of smart meters but I do not have one",I haven't really thought about buying an electric car or van,Strongly disagree,Strongly disagree,Slightly agree,Oppose ,Neither support nor oppose,Oppose ,Support,Neither support nor oppose,Neither agree nor disagree,Slightly agree,Slightly agree,The benefits far outweigh the risks,Aware of it but don't really know what it is ,Not very worried,Not very worried,Fairly worried,Not very worried,Not very concerned,Climate change is mainly caused by natural processes,Fairly concerned,Fairly concerned,Not very concerned,Very concerned,Fairly concerned,Fairly concerned,Strongly agree,Terrace Property,Gas,2,2,No child,Male,Owned outright by household,Retired,65,Rural,25000
1210,Education,No,Yes,Yes,Yes,No,No,No,No,No,A fair amount,Strongly support,Quite often ,Occasionally,Occasionally,Always ,Always ,Yes,Haven't heard of this,Haven't thought about doing this,Haven't thought about doing this ,Haven't thought about doing this ,Thinking about doing this ,"Yes, I have heard of smart meters but I do not have one",I haven't really thought about buying an electric car or van,Strongly disagree,Slightly disagree,Strongly agree,Oppose ,Strongly support,Oppose ,Support,Support,Strongly disagree,Slightly agree,Strongly agree,The benefits slightly outweigh the risks ,Aware of it but don't really know what it is ,Not very worried,Not at all worried,Not at all worried,Not at all worried,Not at all concerned,Climate change is entirely caused by natural processes,Fairly concerned,Fairly concerned,Fairly concerned,Very concerned,Fairly concerned,Fairly concerned,Strongly agree,Terrace Property,Gas,1,1,No child,Female,Owned outright by household,Not working not looking,65,Rural,20000
1211,National Health Service,No,No,Yes,No,Yes,No,Yes,No,No,A fair amount,Support,Quite often ,Always ,Never,Quite often ,Never,No,Haven't heard of this,Have this/in the process of doing,Haven't heard of this ,Haven't thought about doing this ,Don't want to\probably won't do this ,No - I have never heard of them,Don't know,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Oppose ,Oppose ,Neither support nor oppose,Neither support nor oppose,Neither support nor oppose,Slightly agree,Neither agree nor disagree,Slightly agree,The risks slightly outweigh the benefits,Aware of it but don't really know what it is ,Not very worried,Not very worried,Not very worried,Not very worried,Not at all concerned,Climate change is mainly caused by human activity,Fairly concerned,Not at all concerned,Not at all concerned,Not at all concerned,Not at all concerned,Not at all concerned,Neither agree nor disagree,Flat or Maisonette,Gas,1,1,No child,Female,Being bought on mortgage,Retired,65,Urban,15999
1212,Level of taxation,No,No,Yes,No,No,Yes,No,No,Yes,Not very much,Support,Quite often ,Always ,Always ,Always ,Always ,Yes,Don't want to\probably won't do this ,Haven't thought about doing this,Don't want to\probably won't do this ,Don't want to\probably won't do this,Already done\ have this ,"Yes, I have heard of smart meters but I do not have one",I haven't really thought about buying an electric car or van,Strongly agree,Strongly agree,Slightly agree,Support,Support,Strongly support,Strongly support,Strongly support,Slightly agree,Strongly agree,Strongly agree,The benefits far outweigh the risks,Aware of it but don't really know what it is ,Not very worried,Not very worried,Not very worried,Not at all worried,Not very concerned,Climate change is partly caused by natural processes and partly caused by human activity,Very concerned,Very concerned,Not very concerned,Very concerned,Not very concerned,Don't know,Strongly agree,Semi Detached Property,Gas,2,2,No child,Male,Owned outright by household,Retired,65,Rural,NA
1213,Inflation\rising prices,Yes,No,Yes,No,No,No,Yes,No,No,Not very much,Neither support nor oppose,Very often,Occasionally,Quite often ,Not Applicable,Never,Yes,Don't want to\probably won't do this ,Haven't heard of this ,Don't want to\probably won't do this ,Don't want to\probably won't do this,Thinking about doing this ,No - I have never heard of them,I haven't really thought about buying an electric car or van,Strongly agree,Strongly disagree,Neither agree nor disagree,Neither support nor oppose,Support,Support,Support,Support,Slightly agree,Strongly agree,Strongly agree,The benefits and risks are about the same,Aware of it but don't really know what it is ,Not very worried,Very worried,Fairly worried,Not applicable,Not at all concerned,Climate change is entirely caused by natural processes,Fairly concerned,Fairly concerned,Fairly concerned,Fairly concerned,Fairly concerned,Fairly concerned,Strongly agree,Semi Detached Property,Gas,3,3,No child,Male,Owned outright by household,Retired,65,Urban,20000
1214,Crime\law and order,No,Yes,Yes,No,No,No,Yes,No,No,Not very much,Strongly support,Very often,Occasionally,Occasionally,Very often,Quite often ,Yes,Haven't heard of this,Haven't heard of this ,Haven't heard of this ,Haven't thought about doing this ,Not Applicable,"Yes, I have heard of smart meters but I do not have one",I haven't really thought about buying an electric car or van,Neither agree nor disagree,Slightly agree,Strongly agree,Strongly support,Support,Strongly support,Strongly support,Strongly support,Slightly disagree,Neither agree nor disagree,Strongly disagree,The risks far outweigh the benefits ,Aware of it but don't really know what it is ,Not very worried,Not very worried,Fairly worried,Not very worried,Not very concerned,Climate change is partly caused by natural processes and partly caused by human activity,Very concerned,Not at all concerned,Fairly concerned,Very concerned,Very concerned,Fairly concerned,Strongly agree,Semi Detached Property,Solid fuel,4,4,No child,Male,Being bought on mortgage,Full time,25-34,Urban,NA
1215,Inflation\rising prices,Yes,No,No,No,Yes,No,No,No,Yes,Not very much,Strongly support,Very often,Never,Occasionally,Never,Very often,No,Haven't thought about doing this ,Haven't thought about doing this,Haven't thought about doing this ,Haven't thought about doing this ,Already done\ have this ,"Yes, I have heard of smart meters but I do not have one",I haven't really thought about buying an electric car or van,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly oppose ,Support,Strongly support,Strongly support,Strongly support,Strongly agree,Strongly agree,Strongly agree,The benefits far outweigh the risks,Aware of it but don't really know what it is ,Not very worried,Not very worried,Not very worried,Not very worried,Not very concerned,Climate change is partly caused by natural processes and partly caused by human activity,Fairly concerned,Fairly concerned,Fairly concerned,Very concerned,Fairly concerned,Fairly concerned,Slightly agree,Semi Detached Property,Gas,3,4,Child,Male,Rented from local authority,Full time,35-44,Rural,25000
1216,National Health Service,No,Yes,Yes,No,No,No,Yes,No,No,A fair amount,Support,Very often,Occasionally,Always ,Quite often ,Quite often ,No,Don't want to\probably won't do this ,Don't want to\probably won't do this ,Don't want to\probably won't do this ,Don't want to\probably won't do this,Already done\ have this ,"Yes, I have heard of smart meters but I do not have one","I have thought about buying an electric car or van, but have decided not to",Slightly agree,Neither agree nor disagree,Slightly agree,Support,Support,Support,Support,Support,Slightly disagree,Neither agree nor disagree,Neither agree nor disagree,The risks slightly outweigh the benefits,Aware of it but don't really know what it is ,Not very worried,Not very worried,Not very worried,Not very worried,Fairly concerned,Climate change is partly caused by natural processes and partly caused by human activity,Fairly concerned,Fairly concerned,Fairly concerned,Very concerned,Fairly concerned,Fairly concerned,Strongly agree,Detached Property,Gas,4,4,No child,Female,Being bought on mortgage,Part time,45-54,Urban,50000
1217,National Health Service,Yes,Yes,Yes,No,No,No,No,No,No,A fair amount,Support,Very often,Never,Occasionally,Occasionally,Occasionally,No,Haven't thought about doing this ,Haven't heard of this ,Thinking about doing this ,Thinking about doing this,Already done\ have this ,"Yes, I have heard of smart meters but I do not have one",I haven't really thought about buying an electric car or van,Neither agree nor disagree,Slightly agree,Slightly agree,Support,Neither support nor oppose,Strongly support,Strongly support,Strongly support,Slightly agree,Slightly agree,Slightly agree,The benefits and risks are about the same,Aware of it but don't really know what it is ,Not very worried,Not very worried,Not very worried,Not at all worried,Very concerned,Climate change is mainly caused by human activity,Fairly concerned,Fairly concerned,Fairly concerned,Fairly concerned,Very concerned,Fairly concerned,Strongly agree,Semi Detached Property,Gas,1,3,Child,Female,Owned outright by household,Not working not looking,35-44,Urban,20000
1218,Unemployment,Yes,Yes,No,No,No,No,Yes,No,No,A lot,Strongly support,Occasionally,Occasionally,Occasionally,Always ,Never,No,Not my decision to make because I'm renting the property,Not my decision to make because I'm renting the property,Not my decision to make because I'm renting the property,Not my decision to make because I'm renting the property,Already done\ have this ,"Yes, I have heard of smart meters but I do not have one","I have thought about buying an electric car or van, but have decided not to",Slightly agree,Strongly agree,Strongly agree,Strongly support,Strongly support,Support,Strongly support,Strongly support,Slightly disagree,Neither agree nor disagree,Neither agree nor disagree,The risks slightly outweigh the benefits,Aware of it but don't really know what it is ,Not very worried,Not very worried,Fairly worried,Not very worried,Not very concerned,Climate change is partly caused by natural processes and partly caused by human activity,Very concerned,Not very concerned,Very concerned,Very concerned,Fairly concerned,Fairly concerned,Strongly agree,Terrace Property,Gas,2,2,No child,Female,Rented from private landlord,Part time,16-24,Rural,20000
1219,Unemployment,No,Yes,No,Yes,No,No,Yes,No,No,None at all,Neither support nor oppose,Quite often ,Occasionally,Never,Quite often ,Very often,Yes,Haven't thought about doing this ,Haven't heard of this ,Haven't heard of this ,Haven't thought about doing this ,Don't want to\probably won't do this ,No - I have never heard of them,Don't know,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither support nor oppose,Neither support nor oppose,Neither support nor oppose,Neither support nor oppose,Neither support nor oppose,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,The risks slightly outweigh the benefits,Aware of it but don't really know what it is ,Not very worried,Fairly worried,Not very worried,Not very worried,Not very concerned,Climate change is mainly caused by natural processes,Fairly concerned,Fairly concerned,Not very concerned,Not very concerned,Not very concerned,Not very concerned,Slightly agree,Flat or Maisonette,Electric,2,2,No child,Female,Being bought on mortgage,Retired,55-64,Urban,15999
1220,Unemployment,Yes,Yes,No,No,No,No,No,Yes,No,A fair amount,Support,Never,Never,Always ,Always ,Never,No,Don't want to\probably won't do this ,Haven't heard of this ,Haven't heard of this ,Don't want to\probably won't do this,Don't want to\probably won't do this ,No - I have never heard of them,I haven't really thought about buying an electric car or van,Strongly agree,Slightly agree,Strongly agree,Support,Support,Support,Neither support nor oppose,Support,Slightly disagree,Slightly disagree,Neither agree nor disagree,The benefits slightly outweigh the risks ,Aware of it but don't really know what it is ,Not very worried,Not at all worried,Not very worried,Fairly worried,Not very concerned,Climate change is mainly caused by human activity,Very concerned,Fairly concerned,Very concerned,Very concerned,Very concerned,Very concerned,Slightly agree,Terrace Property,Gas,1,1,No child,Male,Rented from private landlord,Full time,25-34,Urban,20000
1221,Unemployment,No,Yes,Yes,No,No,Yes,No,No,No,A fair amount,Neither support nor oppose,Occasionally,Occasionally,Very often,Very often,Occasionally,No,Don't want to\probably won't do this ,Don't want to\probably won't do this ,Don't want to\probably won't do this ,Don't want to\probably won't do this,Don't want to\probably won't do this ,"Yes, I have heard of smart meters but I do not have one",Don't know,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither support nor oppose,Neither support nor oppose,Neither support nor oppose,Neither support nor oppose,Neither support nor oppose,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,The benefits and risks are about the same,Aware of it but don't really know what it is ,Not very worried,Not very worried,Not very worried,Not very worried,Fairly concerned,Climate change is mainly caused by human activity,Fairly concerned,Fairly concerned,Fairly concerned,Fairly concerned,Fairly concerned,Fairly concerned,Neither agree nor disagree,Detached Property,Gas,2,2,No child,Male,Being bought on mortgage,Full time,55-64,Urban,NA
1222,Unemployment,Yes,Yes,No,No,No,No,No,No,Yes,A fair amount,Strongly support,Occasionally,Occasionally,Occasionally,Occasionally,Never,No,Don't want to\probably won't do this ,Don't want to\probably won't do this ,Haven't thought about doing this ,Thinking about doing this,Already done\ have this ,"Yes, I have heard of smart meters but I do not have one",Don't know,Strongly agree,Strongly agree,Strongly agree,Strongly support,Support,Strongly support,Strongly support,Strongly support,Slightly agree,Slightly agree,Slightly agree,The benefits slightly outweigh the risks ,Aware of it but don't really know what it is ,Not very worried,Not very worried,Not very worried,Not very worried,Fairly concerned,Climate change is partly caused by natural processes and partly caused by human activity,Fairly concerned,Fairly concerned,Fairly concerned,Fairly concerned,Fairly concerned,Fairly concerned,Slightly agree,Terrace Property,Gas,2,5,Child,Male,Rented from private landlord,Not working Looking,25-34,Urban,NA
1223,Unemployment,No,Yes,Yes,Yes,No,No,No,No,No,A fair amount,Strongly support,Occasionally,Occasionally,Always ,Very often,Never,No,Haven't thought about doing this ,Haven't heard of this ,Haven't heard of this ,Not Applicable,Thinking about doing this ,No - I have never heard of them,I haven't really thought about buying an electric car or van,Slightly agree,Neither agree nor disagree,Slightly agree,Strongly support,Strongly support,Strongly support,Strongly support,Strongly support,Strongly disagree,Slightly agree,Strongly disagree,The benefits and risks are about the same,Aware of it but don't really know what it is ,Not very worried,Not very worried,Not very worried,Not at all worried,Not very concerned,Climate change is mainly caused by human activity,Fairly concerned,Fairly concerned,Fairly concerned,Fairly concerned,Fairly concerned,Fairly concerned,Strongly agree,Flat or Maisonette,Electric,2,4,Child,Male,Owned outright by household,Part time,35-44,Urban,15999
1224,Unemployment,Yes,Yes,No,No,No,Yes,No,No,No,A fair amount,Support,Occasionally,Occasionally,Occasionally,Always ,Occasionally,No,Don't want to\probably won't do this ,Don't want to\probably won't do this ,Don't want to\probably won't do this ,Don't want to\probably won't do this,Already done\ have this ,"Yes, I have heard of smart meters but I do not have one",I haven't really thought about buying an electric car or van,Strongly agree,Slightly agree,Strongly agree,Support,Support,Support,Support,Support,Strongly disagree,Slightly disagree,Slightly disagree,The risks slightly outweigh the benefits,Aware of it but don't really know what it is ,Not very worried,Not very worried,Fairly worried,Not very worried,Not very concerned,Climate change is entirely caused by natural processes,Very concerned,Not very concerned,Don't know,Fairly concerned,Don't know,Don't know,Slightly agree,Flat or Maisonette,Gas,2,2,No child,Male,Rented from local authority,Not working Looking,25-34,Urban,NA
1225,Unemployment,No,Yes,Yes,No,No,Yes,No,No,No,A lot,Neither support nor oppose,Quite often ,Never,Very often,Very often,Never,Yes,Haven't thought about doing this ,Haven't thought about doing this,Haven't thought about doing this ,Thinking about doing this,Haven't thought about doing this ,No - I have never heard of them,"I have thought about buying an electric car or van, but have decided not to",Neither agree nor disagree,Strongly disagree,Slightly disagree,Strongly oppose ,Support,Strongly oppose ,Neither support nor oppose,Support,Neither agree nor disagree,Neither agree nor disagree,Slightly disagree,The benefits and risks are about the same,Aware of it but don't really know what it is ,Not very worried,Fairly worried,Not very worried,Not very worried,Very concerned,Climate change is partly caused by natural processes and partly caused by human activity,Very concerned,Very concerned,Very concerned,Very concerned,Not very concerned,Fairly concerned,Slightly agree,Terrace Property,Electric,4,5,Child,Female,Rented from private landlord,Not working not looking,55-64,Rural,15999
1226,Inflation\rising prices,Yes,No,No,Yes,No,No,No,No,Yes,Not very much,Support,Quite often ,Occasionally,Occasionally,Very often,Quite often ,No,Haven't thought about doing this ,Haven't thought about doing this,Don't want to\probably won't do this ,Haven't thought about doing this ,Haven't thought about doing this ,No - I have never heard of them,I haven't really thought about buying an electric car or van,Slightly agree,Neither agree nor disagree,Neither agree nor disagree,Neither support nor oppose,Oppose ,Oppose ,Oppose ,Support,Slightly agree,Slightly agree,Neither agree nor disagree,The benefits slightly outweigh the risks ,Aware of it but don't really know what it is ,Not very worried,Fairly worried,Fairly worried,Fairly worried,Very concerned,Climate change is mainly caused by natural processes,Fairly concerned,Fairly concerned,Fairly concerned,Fairly concerned,Fairly concerned,Fairly concerned,Slightly agree,Detached Property,Gas,4,4,No child,Male,Owned outright by household,Full time,25-34,Urban,NA
1227,National Health Service,No,Yes,Yes,Yes,No,No,No,No,No,A fair amount,Support,Very often,Occasionally,Never,Quite often ,Occasionally,Yes,Don't want to\probably won't do this ,Haven't heard of this ,Haven't heard of this ,Don't want to\probably won't do this,Already done\ have this ,"Yes, I have heard of smart meters but I do not have one",I haven't really thought about buying an electric car or van,Strongly agree,Slightly agree,Strongly agree,Strongly support,Support,Strongly support,Strongly support,Strongly support,Strongly agree,Slightly agree,Slightly agree,The benefits slightly outweigh the risks ,Aware of it but don't really know what it is ,Not very worried,Not very worried,Not very worried,Not at all worried,Fairly concerned,Climate change is partly caused by natural processes and partly caused by human activity,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Strongly agree,Semi Detached Property,Gas,2,2,No child,Female,Owned outright by household,Retired,55-64,Urban,15999
1228,Unemployment,Yes,Yes,No,No,No,Yes,No,No,No,None at all,Support,Very often,Occasionally,Quite often ,Never,Quite often ,No,Don't want to\probably won't do this ,Don't want to\probably won't do this ,Don't want to\probably won't do this ,Don't want to\probably won't do this,Don't want to\probably won't do this ,No - I have never heard of them,I haven't really thought about buying an electric car or van,Slightly agree,Neither agree nor disagree,Neither agree nor disagree,Neither support nor oppose,Neither support nor oppose,Neither support nor oppose,Neither support nor oppose,Neither support nor oppose,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,The benefits and risks are about the same,Aware of it but don't really know what it is ,Not very worried,Not very worried,Not very worried,Not very worried,Not very concerned,Climate change is partly caused by natural processes and partly caused by human activity,Not very concerned,Not very concerned,Not very concerned,Not very concerned,Not very concerned,Not very concerned,Neither agree nor disagree,Terrace Property,Gas,5,5,No child,Female,Rented from private landlord,Full time education,16-24,Urban,15999
1229,Crime\law and order,Yes,No,No,Yes,No,No,Yes,No,No,A fair amount,Neither support nor oppose,Occasionally,Never,Always ,Always ,Never,No,Haven't thought about doing this ,Haven't heard of this ,Haven't thought about doing this ,Haven't thought about doing this ,Already done\ have this ,No - I have never heard of them,I haven't really thought about buying an electric car or van,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither support nor oppose,Neither support nor oppose,Neither support nor oppose,Neither support nor oppose,Neither support nor oppose,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,The benefits and risks are about the same,Aware of it but don't really know what it is ,Not very worried,Not very worried,Not very worried,Not very worried,Not at all concerned,Climate change is partly caused by natural processes and partly caused by human activity,Fairly concerned,Not very concerned,Fairly concerned,Not very concerned,Fairly concerned,Fairly concerned,Neither agree nor disagree,Terrace Property,Gas,1,1,No child,Female,Owned outright by household,Part time,45-54,Urban,NA
1230,Unemployment,Yes,Yes,No,No,No,Yes,No,No,No,A fair amount,Support,Very often,Quite often ,Very often,Quite often ,Quite often ,Yes,Haven't heard of this,Haven't thought about doing this,Haven't heard of this ,Haven't thought about doing this ,Thinking about doing this ,No - I have never heard of them,"I am thinking about buying an electric car or van, but I haven't thought about when I will buy it",Neither agree nor disagree,Slightly agree,Slightly agree,Neither support nor oppose,Oppose ,Support,Support,Support,Slightly agree,Slightly disagree,Neither agree nor disagree,The risks far outweigh the benefits ,Aware of it but don't really know what it is ,Not very worried,Not very worried,Not very worried,Not very worried,Very concerned,Climate change is mainly caused by human activity,Fairly concerned,Not very concerned,Fairly concerned,Fairly concerned,Fairly concerned,Fairly concerned,Slightly agree,Terrace Property,Gas,2,2,No child,Female,Rented from private landlord,Retired,55-64,Urban,NA
1231,Inflation\rising prices,Yes,No,No,No,No,No,Yes,No,No,A fair amount,Support,Always ,Occasionally,Very often,Always ,Never,Yes,Haven't heard of this,Haven't heard of this ,Haven't heard of this ,Haven't heard of this ,Already done\ have this ,No - I have never heard of them,I haven't really thought about buying an electric car or van,Slightly agree,Slightly agree,Slightly agree,Support,Support,Support,Support,Support,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,The benefits and risks are about the same,Aware of it but don't really know what it is ,Not very worried,Not very worried,Not very worried,Not very worried,Fairly concerned,Climate change is partly caused by natural processes and partly caused by human activity,Fairly concerned,Fairly concerned,Fairly concerned,Fairly concerned,Fairly concerned,Fairly concerned,Slightly agree,Flat or Maisonette,Gas,1,3,Child,Female,Rented from local authority,Part time,25-34,Urban,20000
1232,Unemployment,No,Yes,No,No,No,Yes,Yes,No,No,A fair amount,Strongly support,Never,Never,Occasionally,Always ,Never,Yes,Haven't thought about doing this ,Haven't thought about doing this,Haven't thought about doing this ,Haven't thought about doing this ,Haven't thought about doing this ,"Yes, I have heard of smart meters but I do not have one",I haven't really thought about buying an electric car or van,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Oppose ,Oppose ,Oppose ,Oppose ,Oppose ,Slightly agree,Strongly agree,Strongly agree,The benefits slightly outweigh the risks ,Aware of it but don't really know what it is ,Not very worried,Not very worried,Very worried,Not very worried,Not very concerned,Climate change is mainly caused by human activity,Very concerned,Fairly concerned,Fairly concerned,Fairly concerned,Not very concerned,Not very concerned,Strongly agree,Flat or Maisonette,Gas,1,1,No child,Male,Owned outright by household,Not working not looking,55-64,Urban,NA
1233,Unemployment,No,Yes,No,Yes,No,No,Yes,No,No,A fair amount,Neither support nor oppose,Occasionally,Occasionally,Very often,Occasionally,Never,No,Haven't heard of this,Haven't heard of this ,Haven't heard of this ,Haven't heard of this ,Already done\ have this ,No - I have never heard of them,I haven't really thought about buying an electric car or van,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither support nor oppose,Neither support nor oppose,Neither support nor oppose,Neither support nor oppose,Neither support nor oppose,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,The benefits and risks are about the same,Aware of it but don't really know what it is ,Not very worried,Not very worried,Not very worried,Not very worried,Not at all concerned,Climate change is partly caused by natural processes and partly caused by human activity,Fairly concerned,Fairly concerned,Not very concerned,Not very concerned,Not very concerned,Not very concerned,Neither agree nor disagree,Flat or Maisonette,Electric,3,3,No child,Female,Being bought on mortgage,Full time education,16-24,Urban,NA
1234,Unemployment,No,Yes,Yes,No,No,No,Yes,No,No,Not very much,Strongly support,Occasionally,Occasionally,Quite often ,Always ,Never,No,Haven't thought about doing this ,Haven't thought about doing this,Haven't thought about doing this ,Haven't thought about doing this ,Haven't thought about doing this ,No - I have never heard of them,I haven't really thought about buying an electric car or van,Slightly agree,Slightly disagree,Strongly agree,Support,Strongly support,Strongly support,Strongly support,Strongly support,Strongly agree,Slightly agree,Strongly agree,The benefits far outweigh the risks,Aware of it but don't really know what it is ,Not very worried,Not very worried,Not very worried,Not very worried,Fairly concerned,Climate change is mainly caused by human activity,Fairly concerned,Not very concerned,Fairly concerned,Not very concerned,Fairly concerned,Fairly concerned,Slightly agree,Flat or Maisonette,Electric,2,2,No child,Male,Being bought on mortgage,Full time education,16-24,Urban,15999
